TOKEN	WEIGHT
.	-5.882960657802788
the	-4.621025962311212
of	-2.4085065168527455
to	-2.078012166301135
and	-1.49911966718678
in	-1.1373927391200773
that	-1.1271639624745184
I	-0.999420066145684
a	-0.9932039317937229
is	-0.8471000819968671
for	-0.5835077036746092
it	-0.544679636959077
be	-0.534103287884648
this	-0.5334780098903833
not	-0.5184275927329282
have	-0.4414552029542736
from	-0.4349504442436869
on	-0.42006167344590595
as	-0.4004256090595033
The	-0.37301202853341214
by	-0.36232203964499243
will	-0.3387246451172285
are	-0.323599481317308
we	-0.32178165829182737
was	-0.31711883371883165
with	-0.2945327844209486
Mr.	-0.2911321105641177
which	-0.2900045639828669
has	-0.26750471693570826
or	-0.25101709311195153
bill	-0.2409426504111739
would	-0.22850269193005895
--	-0.21924618450036865
at	-0.20691318096501643
?	-0.20603580460414278
Senator	-0.20421099547640642
an	-0.19932384873458492
they	-0.18650615860362293
been	-0.18631673900202816
our	-0.17497767871595035
he	-0.17401590348944518
gentleman	-0.1705657956638233
there	-0.16894520040463218
all	-0.16613064726096224
do	-0.16538769022479854
It	-0.16443940905725551
his	-0.15703695394100609
...	-0.15555897340697072
President	-0.15099870357677916
but	-0.15080113497731934
who	-0.14900706900881236
my	-0.14846687535128977
can	-0.14825028608654092
any	-0.14523895605153583
their	-0.1420396086139958
$	-0.14060896187489735
time	-0.13900210526535695
amendment	-0.13704343691077947
if	-0.13125266188112078
States	-0.12541442639911765
no	-0.1244989067988494
``	-0.12316546611261855
one	-0.12247756485670894
other	-0.12185208588976655
so	-0.11778736982280738
In	-0.11232519033407404
''	-0.11176342273340853
were	-0.11082514238369774
had	-0.11062641771209801
should	-0.11009083887930847
these	-0.11005638822911946
House	-0.10890221249646974
what	-0.10530124548094372
:	-0.10508294628770792
Senate	-0.1033973519267547
people	-0.10041358236614015
out	-0.09872359149947886
United	-0.0971518263025431
more	-0.09683997091831943
you	-0.09677791559847555
its	-0.09415773023845199
them	-0.09308316137766581
now	-0.0930079928035291
am	-0.09295112005481565
when	-0.09247345545748988
upon	-0.09191029147543257
may	-0.09148934135243292
made	-0.0909536206119075
than	-0.09031935063081227
Congress	-0.08964451432171956
about	-0.08960222464949687
We	-0.08877507534817929
under	-0.08816169416332677
some	-0.08632381278125956
such	-0.08613607346964587
committee	-0.08419353297043107
Speaker	-0.08333531312877542
question	-0.08310749865133275
think	-0.08307611376407144
say	-0.08128814396623163
me	-0.08105597508398582
