TOKEN	WEIGHT
the	-595.2633760142036
of	-385.3290168121093
,	-344.03061825467705
and	-279.72269513790053
.	-274.9479725561648
to	-252.01415658668054
in	-160.1049217361217
a	-113.40637269166308
that	-105.81922186524125
is	-83.26605079424209
for	-77.05438792152164
on	-53.9852194697078
our	-48.80212838508693
we	-46.58721198182821
The	-45.799598961438086
be	-45.39284579098186
are	-43.11481547326065
with	-42.97023926736819
as	-41.87670558440986
by	-41.8470819138735
United	-40.82600874857359
have	-39.96498477232936
has	-37.45915503825938
its	-36.95028152538839
which	-36.72236190566828
this	-36.52772849979255
international	-36.169475554610734
Nations	-35.55209404891072
We	-34.75690213952966
will	-31.978215686604855
all	-31.07873253085303
not	-30.540051196175448
it	-30.175654477439263
world	-27.425596218158088
countries	-26.90973384089393
their	-26.073067953461734
an	-25.360532789109953
I	-23.740074224701722
at	-23.189790992121726
peace	-23.089635769913787
from	-20.19020677634431
States	-19.462591742376695
people	-18.739345562111698
must	-18.718988742100098
development	-18.69811146257966
In	-18.459205378516423
can	-18.310846916982438
been	-18.20059346654051
also	-17.032693351297524
It	-15.809919781577548
economic	-15.679232153391565
country	-15.548842371276525
should	-15.089391220943456
more	-14.523872155400289
security	-13.36053245632874
Assembly	-13.281407006244955
or	-13.03017358789633
new	-12.804600449978484
those	-12.726375936030145
us	-12.606903891058554
’	-12.464265670996891
would	-12.349136072723889
other	-12.25476727528381
Government	-11.956671512798952
community	-11.941394269191743
human	-11.940809918249363
efforts	-11.926424301770739
was	-11.648165636167581
s	-11.319131603742637
political	-11.09267890455615
support	-10.837248407928891
Organization	-10.831614175267894
Council	-10.809738008419073
rights	-10.660546402786608
General	-10.213566344955796
but	-10.126224047479417
my	-10.012466524847133
one	-10.002065461636139
only	-9.83893623154493
they	-9.202351733119881
between	-9.157911892225101
such	-9.154207420370083
session	-9.124063372366702
so	-9.0409463834352
Africa	-8.897666271957453
;	-8.849926619411853
his	-8.807978731422738
no	-8.73797204322591
against	-8.685718798437199
global	-8.649594586073734
Republic	-8.431838986072119
Security	-8.337807038102639
time	-8.264005993476891
years	-8.251251136685296
's	-8.130634947334782
—	-8.063576077983301
)	-8.039121544133765
(	-8.028691247149922
who	-7.982769007386416
order	-7.925857487364364
This	-7.919127175446107
region	-7.892074805095899
these	-7.79469412732602
peoples	-7.752256623394019
year	-7.655460287702514
most	-7.521011978886197
through	-7.493860965060016
many	-7.386820643775928
work	-7.378422698405246
developing	-7.315153487387666
national	-7.30731886967527
like	-7.292171895869027
there	-7.128121603309928
situation	-7.0904920877345345
than	-7.0260806664629145
into	-6.9872468601702895
made	-6.937923971421345
process	-6.9230403961266225
need	-6.8879829715530345
problems	-6.810671665598571
State	-6.804535571124196
them	-6.803392412825914
continue	-6.789859584267069
social	-6.76519243041435
now	-6.705292589659805
important	-6.456609356808963
President	-6.415355660729667
cooperation	-6.221460754514745
any	-6.186546385352242
hope	-6.177943308241841
That	-6.160888213952132
African	-6.103597642436432
nations	-6.076759550367991
respect	-6.067479426685028
do	-6.054448738280981
great	-6.031338166865766
take	-5.928064273548029
over	-5.923086032240839
make	-5.920938815372249
progress	-5.896031115463295
well	-5.862761726172445
conflict	-5.8303658682454875
war	-5.819202104248363
South	-5.765501407086372
relations	-5.664667964069426
future	-5.643959347836995
very	-5.548523099594434
among	-5.537044391950268
role	-5.476843270350068
two	-5.464131956516694
end	-5.443447392149448
were	-5.43732808722269
Secretary-General	-5.427062357265478
towards	-5.393209393179514
system	-5.384156851279943
some	-5.343488474006866
under	-5.312824044900842
part	-5.311975352587653
out	-5.306869923741807
if	-5.276291178724606
today	-5.2592555031561385
As	-5.250543109218537
about	-5.1993568725975186
nuclear	-5.190147619489179
principles	-5.1539177809014145
:	-5.11550192867336
right	-5.069724753423944
being	-5.019519031362056
just	-5.002726492174431
peaceful	-4.965992467321549
way	-4.963865814517436
resources	-4.953402421123767
first	-4.931004345404855
Mr.	-4.922657913726082
without	-4.915528685733501
Development	-4.854490027858894
law	-4.838533437483043
East	-4.821120864080646
when	-4.815000803749248
resolution	-4.808342417916554
terrorism	-4.792974349339579
own	-4.791465932267596
Charter	-4.785394996973134
up	-4.7815218726846584
solution	-4.777275419235544
action	-4.708299668132219
Conference	-4.707040777161382
challenges	-4.690467338450629
weapons	-4.6874408591064505
regional	-4.653651736855654
because	-4.553004447875327
crisis	-4.538528085059616
believe	-4.48622584016673
within	-4.480656620265505
still	-4.439183581522622
stability	-4.415224881675212
policy	-4.397815172235055
same	-4.341517680295257
ensure	-4.258989952683756
change	-4.2165362927720835
therefore	-4.208999030974032
Afghanistan	-4.184232461932258
commitment	-4.175283119039318
both	-4.1669760821935755
last	-4.149330568978152
regard	-4.138528434471993
conflicts	-4.136132195026998
poverty	-4.12224006548991
had	-4.095522646550419
including	-4.052786288133236
problem	-4.022280344780462
negotiations	-4.002448040812569
effective	-3.998353407162821
past	-3.992940892609132
Union	-3.989725195298835
wish	-3.9780196049197847
measures	-3.9714566570392855
what	-3.956067501928629
financial	-3.923427010904621
full	-3.9231715564151872
possible	-3.9131597875761646
Our	-3.872741694929635
military	-3.8545004814617663
issues	-3.8441942460402774
means	-3.8322346041269664
particular	-3.8302856664200466
Member	-3.819089358393433
place	-3.8136934599300663
But	-3.796195818846308
reform	-3.7886461099733584
implementation	-3.784437079888944
necessary	-3.7817228642815044
particularly	-3.7692155970672676
Middle	-3.741338067393858
assistance	-3.7407513442104947
even	-3.73072622653784
become	-3.716258782450384
independence	-3.684431010056596
European	-3.680440592010106
delegation	-3.6792434841317236
developed	-3.66163415993939
achieve	-3.633409076028252
dialogue	-3.6292907904739073
?	-3.6042396788909667
International	-3.6035598489419836
common	-3.6021046789372737
recent	-3.6009502255029506
taken	-3.5996120771949127
My	-3.591141942907229
since	-3.583324807892073
trade	-3.5598567570097974
could	-3.5362748862902937
fact	-3.5088403384715665
small	-3.5028360349544707
democracy	-3.5027690260490214
may	-3.4953252873230927
responsibility	-3.4937460529190587
major	-3.490663218766717
view	-3.4723600759154087
every	-3.451978570672024
per	-3.4507465542949576
where	-3.4492026144496233
based	-3.4468819212955286
opportunity	-3.440218106872205
use	-3.3873133767337746
democratic	-3.385523820230796
together	-3.384593448002753
parties	-3.3657336106882014
Europe	-3.3435143909345686
interests	-3.3415751332075025
Arab	-3.3313956832910327
justice	-3.326379411617341
special	-3.3256014983313795
upon	-3.307348368625403
For	-3.3039572531805077
question	-3.2998680060607755
``	-3.267788970586517
call	-3.253674734407174
settlement	-3.249434498362059
your	-3.2447583412657814
disarmament	-3.2433434003888344
climate	-3.2365087308884033
further	-3.2335937057758906
forces	-3.230465257571036
present	-3.2131745766340587
fully	-3.2090961026622127
There	-3.2004297265769237
resolutions	-3.179688869410965
Israel	-3.1772756568634337
me	-3.165402861366286
foreign	-3.163705683535843
long	-3.1553313932101137
welcome	-3.1552765139692376
life	-3.1550214726703936
held	-3.138300020138543
co-operation	-3.1223163499406805
concern	-3.1177080614901476
during	-3.104333084987957
freedom	-3.098832908176273
basis	-3.088994435484988
agreement	-3.0808974892613152
better	-3.0775884320503804
force	-3.070127959279504
arms	-3.0693773939062123
sustainable	-3.0608239549962644
importance	-3.051311628747851
At	-3.038202110061665
you	-3.034381605403671
free	-3.019050809369929
see	-3.0067925943537874
Palestinian	-3.00281414143729
here	-3.0026714220010944
able	-2.979275335000485
cent	-2.9630357500864446
again	-2.961067920404373
“	-2.9546269884942307
good	-2.9478117057682725
-	-2.93972825039079
before	-2.914733667557189
serious	-2.9120054901349763
members	-2.9084704390458933
express	-2.905397179833974
economy	-2.9042356673950755
ago	-2.902615321070234
growth	-2.898900283262357
A	-2.88335328782662
institutions	-2.879674335536245
''	-2.8386941823108587
adopted	-2.821862674769884
conditions	-2.8161779429654827
sovereignty	-2.8098291946776572
America	-2.7990308577376357
threat	-2.795794978303519
he	-2.7860699831062345
number	-2.778932911988589
struggle	-2.776201411229846
remains	-2.7664427839852794
history	-2.7554260131445085
establishment	-2.753899146738545
issue	-2.7442916121177716
needs	-2.741738029710656
help	-2.739437003167276
remain	-2.737188096370176
am	-2.729362402290358
However	-2.71289990817067
They	-2.705196001145365
committed	-2.7051053713257067
already	-2.702754362282156
bring	-2.68833996829738
continues	-2.687894248457353
environment	-2.675842364195395
”	-2.670873192005488
framework	-2.6701962872825824
women	-2.6690159010501473
come	-2.6525598006895716
areas	-2.649118309524968
context	-2.6460989604322416
much	-2.6450806865843224
fundamental	-2.641630893751921
World	-2.6336495533506157
greater	-2.631320646116169
solidarity	-2.6302348853116913
put	-2.628567636087625
promote	-2.6224786961679207
violence	-2.621561935929734
election	-2.6050005080393954
current	-2.59530191484998
various	-2.5948503082819308
itself	-2.5880325305087815
success	-2.587724824004444
level	-2.5740596386769234
while	-2.5680831047367514
especially	-2.5576012269105677
area	-2.541463145687003
society	-2.5404180492835247
meeting	-2.5227397271270258
comprehensive	-2.517821897582053
face	-2.5128412118037677
set	-2.5116979516562483
provide	-2.5054876102661066
effort	-2.4975977283138433
positive	-2.4904673930010133
solutions	-2.4833120295421947
Central	-2.4721114049292403
On	-2.46866300996255
agenda	-2.45636442000536
concerned	-2.4498890895867573
achieved	-2.4201278810997446
address	-2.418175187778616
forward	-2.414635764779424
clear	-2.4127741151746758
find	-2.4065745415807607
humanitarian	-2.402523341210193
Iraq	-2.4015837534234983
after	-2.398476544657224
given	-2.39797324572713
whose	-2.3936169829399425
far	-2.382711967568578
To	-2.37875035991245
each	-2.356016236637445
always	-2.3392190369201575
century	-2.337498949873995
once	-2.3347817861066202
attention	-2.324816730304954
give	-2.32045451564442
contribute	-2.30561070867831
strengthening	-2.2915158159836615
another	-2.276381926367579
collective	-2.273942777164831
result	-2.271775656247258
live	-2.2676463834897134
contribution	-2.2642923410354294
policies	-2.263852363800183
regime	-2.2560136613609774
organizations	-2.24552657324741
strengthen	-2.244029178940802
few	-2.2429400327908273
nation	-2.2188412899787227
fight	-2.2063453789948335
population	-2.205317166420262
certain	-2.1957768280304184
power	-2.193996597765711
activities	-2.186265815369451
continent	-2.1795516463828286
others	-2.1700027862526103
whole	-2.1667299064575856
mankind	-2.1496732851483733
results	-2.135352467919549
why	-2.1302845866051827
principle	-2.1289321333272095
essential	-2.1262935966545884
course	-2.1163244627124844
does	-2.0918464637218435
spirit	-2.086867152952639
position	-2.0824252976435096
aggression	-2.077372539763876
how	-2.0750768253388996
lasting	-2.074637271904924
lead	-2.0710858565674455
destruction	-2.068985477095475
actions	-2.0527263376553604
general	-2.0456383069762523
interest	-2.0347148169765514
experience	-2.0300803881143206
If	-2.0262470491233993
children	-2.0212152054159844
universal	-2.021117947375732
Governments	-2.018948205527308
armed	-2.0146270381236735
natural	-2.0078906456132515
Declaration	-2.007770231479314
too	-2.0030441094566216
initiative	-2.000290112771831
With	-1.998038605936488
affairs	-1.996036775385573
high	-1.9937334323733826
ever	-1.9920026508309117
leadership	-1.9896273125818813
increase	-1.9894172814881195
values	-1.9807126013769618
aimed	-1.9746532572746176
however	-1.971841040510499
cause	-1.9632447559275896
thus	-1.9592425030029765
multilateral	-1.9583653663983467
Powers	-1.9555529520001775
People	-1.9501935122997285
themselves	-1.9406269762877977
approach	-1.9392864565633585
legitimate	-1.9319951222205456
want	-1.927662334454
participation	-1.9227887506032522
Treaty	-1.920095462806169
act	-1.9196219731017785
established	-1.9178869297160552
significant	-1.91308508283481
real	-1.9077251699599251
Angola	-1.8997235092757743
rule	-1.8964107613678343
leaders	-1.8940129933732535
best	-1.890306388067521
Soviet	-1.8894438568924234
working	-1.886708964721696
yet	-1.8770906331481985
territorial	-1.872391067093156
These	-1.8710978823806081
three	-1.8650608562345847
lives	-1.8576233080287108
task	-1.8572220103814703
say	-1.8565730377705683
terms	-1.8502335325566113
Democratic	-1.8498289664826353
difficult	-1.8423079928439052
living	-1.8403412600427156
Namibia	-1.8383166638615236
challenge	-1.8349141374358924
objectives	-1.8323149314450655
Millennium	-1.8315546825558262
true	-1.8304365426204448
protection	-1.8280761952584257
understanding	-1.8225049654818017
Let	-1.8182396714442493
taking	-1.8164906234024598
American	-1.815829957057408
matter	-1.8072077573664134
create	-1.804673010671909
throughout	-1.803614509751166
supports	-1.7963228923927648
strong	-1.7948668270935884
debt	-1.7925135989649013
done	-1.7900606279209241
Today	-1.7885227337407184
energy	-1.7882957837205196
integrity	-1.7760257236025407
Human	-1.7742642439199985
never	-1.7731161855683097
recently	-1.7729686416453507
events	-1.7696899993553028
entire	-1.767082489549248
him	-1.761837302982166
conference	-1.759133127787966
behalf	-1.7566439161129241
initiatives	-1.7510766289151016
acts	-1.7488338101628558
goals	-1.7449187550154874
million	-1.7438423538225385
Caribbean	-1.7407907374239573
making	-1.7373353984169184
basic	-1.7370338902638494
step	-1.7364417073132914
play	-1.7320136145595089
urgent	-1.7319315404571418
territory	-1.7307794674139207
continued	-1.7291787877868772
decisions	-1.7291585617753922
permanent	-1.7238210605097397
resolve	-1.7221983521518296
internal	-1.7160178645240154
threats	-1.7140695151486043
establish	-1.713982461683464
report	-1.7114511029702562
independent	-1.7111782592126952
Economic	-1.697652212845451
meet	-1.6946128761122148
determination	-1.690355313981094
Goals	-1.684732133601521
third	-1.6822804024804452
Latin	-1.6808777437734734
membership	-1.6805026879014697
convinced	-1.6765078566838265
prosperity	-1.6753654022125852
And	-1.6751155335714576
September	-1.6672906564583574
citizens	-1.6664203941871907
New	-1.6625613235410703
Rights	-1.6592646760387202
least	-1.6549724449604981
mutual	-1.6531625126516047
member	-1.6492434465097527
less	-1.6426155064340167
suffering	-1.6412958605797356
consequences	-1.6228115417429425
pay	-1.6205420568721696
know	-1.6192670701554706
build	-1.616875235876439
Asia	-1.6098460292312669
While	-1.6069351693546223
congratulate	-1.6062993535426804
seek	-1.6013909378494486
capacity	-1.6013015761184015
commitments	-1.5990664125956273
next	-1.5981720954908312
elections	-1.5964091920782548
Members	-1.5937216233052984
public	-1.5861120969480378
